NAAM;NED_NAAM;ID
Acanthaceae;Acanthusfamilie;41
Achariaceae;;45
Achatocarpaceae;;16
Acoraceae;Kalmoesfamilie;1
Actinidiaceae;Kiwifamilie;29
Aextoxicaceae;;10
Aizoaceae;Ijskruidfamilie;16
Akaniaceae;;12
Alismataceae;Waterweegbreefamilie;2
Alseuosmiaceae;;8
Alstroemeriaceae;;43
Altingiaceae;;63
Alzateaceae;;48
Amaranthaceae;Amarantenfamilie;16
Amaryllidaceae;Narcisfamilie;7
Amborellaceae;;3
Anacampserotaceae;;16
Anacardiaceae;Pruikenboomfamilie;62
Ancistrocladaceae;;16
Anisophylleaceae;;23
Annonaceae;;44
Aphanopetalaceae;;63
Aphloiaceae;;22
Apiaceae;;4
Apocynaceae;Maagdenpalmfamilie;34
Apodanthaceae;;23
Aponogetonaceae;;2
Aquifoliaceae;Hulstfamilie;5
Araceae;Aronskelkfamilie;2
Araliaceae;Klimopfamilie;4
Araucariaceae;;55
Arecaceae;;6
Argophyllaceae;;8
Aristolochiaceae;Pijpbloemfamilie;56
Asparagaceae;Aspergefamilie;7
Asphodelaceae;;7
Asteliaceae;;7
Asteraceae;;8
Asteropeiaceae;;16
Atherospermataceae;;42
Austrobaileyaceae;;9
Balanopaceae;;45
Balanophoraceae;;61
Balsaminaceae;Balsemienfamilie;29
Barbeuiaceae;;16
Barbeyaceae;;60
Basellaceae;;16
Bataceae;;12
Begoniaceae;;23
Berberidaceae;Berberisfamilie;59
Berberidopsidaceae;;10
Betulaceae;Berkenfamilie;32
Biebersteiniaceae;;62
Bignoniaceae;Trompetboomfamilie;41
Bixaceae;;46
Blandfordiaceae;;7
Bonnetiaceae;;45
Boraginaceae;Ruwbladigenfamilie;11
Boryaceae;;7
Brassicaceae;;12
Bromeliaceae;;57
Brunelliaceae;;50
Bruniaceae;;13
Burmanniaceae;;26
Burseraceae;;62
Butomaceae;;2
Buxaceae;Buxusfamilie;14
Byblidaceae;;41
Cabombaceae;;49
Cactaceae;Cactusfamilie;16
Calceolariaceae;;41
Calophyllaceae;;45
Calycanthaceae;;42
Calyceraceae;;8
Campanulaceae;Klokjesfamilie;8
Campynemataceae;;43
Canellaceae;;15
Cannabaceae;Hennepfamilie;60
Cannaceae;;69
Capparaceae;;12
Caprifoliaceae;Kamperfoeliefamilie;27
Cardiopteridaceae;;5
Caricaceae;;12
Carlemanniaceae;;41
Caryocaraceae;;45
Caryophyllaceae;Anjerfamilie;16
Casuarinaceae;;32
Celastraceae;Kardinaalsmutsfamilie;17
Centroplacaceae;;45
Cephalotaceae;;50
Ceratophyllaceae;;18
Cercidiphyllaceae;;63
Chloranthaceae;;19
Chrysobalanaceae;;45
Circaeasteraceae;;59
Cistaceae;Zonneroosjesfamilie;46
Cleomaceae;;12
Clethraceae;;29
Clusiaceae;;45
Colchicaceae;Herfsttijloosfamilie;43
Columelliaceae;;13
Combretaceae;;48
Commelinaceae;;20
Connaraceae;;50
Convolvulaceae;Windefamilie;64
Coriariaceae;;23
Cornaceae;Kornoeljefamilie;21
Corsiaceae;;43
Corynocarpaceae;;23
Costaceae;;69
Crassulaceae;Vetplantenfamilie;63
Crossosomataceae;;22
Crypteroniaceae;;48
Ctenolophonaceae;;45
Cucurbitaceae;Komkommerfamilie;23
Cunoniaceae;;50
Cupressaceae;Cipresfamilie;55
Curtisiaceae;;21
Cycadaceae;;24
Cyclanthaceae;;51
Cymodoceaceae;;2
Cynomoriaceae;;63
Cyperaceae;Cypergrassenfamilie;57
Cyrillaceae;;29
Cytinaceae;;46
Daphniphyllaceae;;63
Dasypogonaceae;;6
Datiscaceae;;23
Degeneriaceae;;44
Diapensiaceae;;29
Dichapetalaceae;;45
Didiereaceae;;16
Dilleniaceae;;25
Dioncophyllaceae;;16
Dioscoreaceae;;26
Dipentodontaceae;;39
Dipterocarpaceae;;46
Dirachmaceae;;60
Doryanthaceae;;7
Droseraceae;Zonnedauwfamilie;16
Drosophyllaceae;;16
