NAAM;FAMILIE_ID
Aa;282
Aaronsohnia;
Abacopteris;
Abacosa;
Abarema;
Abasoloa;
Abatia;352
Abbevillea;266
Abdominea;282
Abelia;81
Abelicea;412
Abeliophyllum;278
Abelmoschus;238
Aberemoa;21
Aberia;352
Abies;315
Abietinella;
Abildgaardia;123
Abobra;115
Abolboda;424
Aboriella;413
Abrahamia;18
Abrodictyum;
Abroma;238
Abronia;273
Abrophyllum;347
Abrotanella;
Abrus;
Absinthium;
Absolmsia;25
Abuta;248
Abutilon;238
Abutua;173
Acacia;
Acaciella;
Acaena;346
Acalypha;154
Acampe;282
Acamptopappus;
Acanthanthus;70
Acantharia;
Acanthella;246
Acanthephippium;282
Acanthobotrya;
Acanthocalycium;70
Acanthocalyx;81
Acanthocarpus;35
Acanthocephalus;
Acanthocereus;70
Acanthochlamys;415
Acanthocladiella;
Acanthocladium;
Acanthocladium;
Acanthocladus;326
Acanthocoleus;
Acanthodesmos;
Acanthodium;1
Acanthodium;
Acanthogilia;325
Acantholejeunea;
Acantholimon;321
Acantholippia;416
Acantholobivia;70
Acanthomintha;216
Acanthonema;170
Acanthopale;1
Acanthopanax;30
Acanthopetalus;70
Acanthophaca;
Acanthophippium;282
Acanthophoenix;32
Acanthophyllum;86
Acanthoprasium;216
Acanthopsis;1
Acanthorhipsalis;70
Acanthorrhinum;318
Acanthorrhiza;32
Acanthorrhynchium;
Acanthoscyphus;327
Acanthosicyos;115
Acanthospermum;
Acanthosphaera;258
Acanthostachys;61
Acanthostyles;
Acanthosyris;354
Acanthothamnus;88
Acanthotrichilia;247
Acanthoxanthium;
Acanthura;1
Acanthus;1
Acanthyllis;
Acareosperma;419
Acarna;
Acarphaea;
Acaulimalva;238
Acaulon;
Acaulonopsis;
Acca;266
Accara;266
Accorombona;
Acelica;1
Acentra;418
Acer;355
Aceras;282
Acerates;25
Aceratium;145
Aceratoglossum;282
Aceriphyllum;361
Acetosa;327
Acetosella;284
Acetosella;327
Achaetogeron;
Achania;238
Acharagma;70
Acharia;2
Achatocarpus;3
Achetaria;318
Achicodonia;170
Achillea;
Achimenantha;170
Achimenes;170
Achlyphila;424
Achlys;50
Achnatherum;322
Achnella;322
Achneria;322
Achnophora;
Achnopogon;
Achomanes;
Achoriphragma;60
Achras;356
Achrophyllum;
Achuaria;350
Achudemia;413
Achymus;258
Achyrachaena;
Achyranthes;14
Achyrocalyx;1
Achyrocline;
Achyronia;
Achyronychia;86
Achyropappus;
Achyrophorus;
Achyrophyllum;
Achyropsis;14
Achyrospermum;216
Aciachne;322
Acianthera;282
Acianthus;282
Acicarpha;74
Acidanthera;202
Acidocroton;154
Acidodontium;
Acidonia;333
Acidosasa;322
Acidoton;154
Acilepidopsis;
Acilepis;
Acineta;282
Acinodendron;246
Acinolis;246
Acinos;216
Acioa;94
Aciotis;246
Acipetalum;246
Aciphylla;24
Acis;15
Acisanthera;246
Ackama;116
Acleisanthes;273
Aclisia;103
Acmadenia;350
Acmanthera;237
Acmella;
Acmena;266
Acmispon;
Acmopyle;323
Acnida;14
Acnistus;374
Acoelorrhaphe;32
Acokanthera;25
Acolea;
Acomastylis;346
Acome;80
Acomis;
Aconiopteris;
Aconitella;337
Aconitum;337
Aconogonon;327
Aconogonum;327
Acontias;29
Acophorum;322
Acoridium;282
Acorus;4
Acosmia;86
Acosmium;
Acosmus;237
Acosta;
Acosta;
Acostia;322
Acourtia;
Acrachne;322
Acradenia;350
Acranthera;348
Acridocarpus;237
Acrilia;247
Acriopsis;282
Acrisione;
Acritochaete;322
Acritodon;
Acritopappus;
Acriulus;123
Acroblastum;43
Acrobolbus;
Acrobotrys;348
Acrocarpidium;316
Acrocarpus;
Acrocentron;
Acrocephalus;216
Acroceras;322
Acrochaene;282
Acrochila;
Acrocladiopsis;
Acrocladium;
Acroclinium;
Acrocomia;32
Acrocoryne;25
Acrocryphaea;
Acrodiclidium;219
Acrodon;7
Acroglochin;14
Acroglyphe;24
Acrolasia;228
Acrolejeunea;
Acrolophia;282
Acrolophozia;
Acromastigum;
Acronema;24
Acronia;282
Acronychia;350
Acropelta;
Acrophorus;
Acrophyllum;116
Acropodium;
Acropogon;238
Acroporium;
Acropteris;
Acropterygium;
Acrorchis;282
Acrorumohra;
Acrosanthes;7
Acroschisma;
Acroschizocarpus;60
Acroscyphella;
Acroscyphus;
Acrosepalum;238
Acrosorus;
Acrospira;35
Acrostachys;232
Acrostemon;149
Acrostephanus;232
Acrostichum;
Acrostolia;
Acrosynanthus;348
Acrotome;216
Acrotrema;133
Acrotriche;149
Acrymia;216
Acsmithia;116
Actaea;337
Actephila;309
Actephilopsis;154
Actinanthella;232
Actinanthus;24
Actinea;
Actinella;
Actinidia;5
Actiniopteris;
Actinobole;
Actinocarya;58
Actinocephalus;150
Actinocheita;18
Actinocladum;322
Actinodaphne;219
Actinodium;266
Actinodontium;
Actinokentia;32
Actinolema;24
Actinolepis;
Actinomeris;
Actinophlebia;
Actinorhytis;32
Actinoschoenus;123
Actinoscirpus;123
Actinoseris;
Actinospermum;
Actinospora;337
Actinostachys;
Actinostemma;115
Actinostemon;154
Actinostrobus;117
Actinothuidium;
Actinotus;24
Acuan;
Acuania;
Acuba;107
Acunaeanthus;348
Acustelma;25
Acuston;60
Acystopteris;
Ada;282
Adamantinia;282
Adamea;246
Adamia;195
Adansonia;238
Addisonia;
Adectum;
Adelanthus;201
Adelbertia;246
Adelia;154
Adelia;278
Adelobotrys;246
Adelocaryum;58
Adelocolia;
Adeloda;1
Adelostemma;25
